ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08G5M9718,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Katlanır,,NVIDIA,41.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),9339.0,8.0,SSD,4.3,,,1920x1080,MSI COMPUTER,2.3,2.5,Intel,4.0,,FreeDOS,,,Solid State,256.0,,36 x 2.8 x 25 cm; 2.3 Kilogram,,4.0,GL65 LEOPARD 10SCXR-061XTR,1.0,801.11ac,,,,,,,,
B08H8WJJWN,,DDR4,,4.0,15.6,Tümleşik,Radeon Vega 3,Dizüstü Bilgisayar,VRAM,AMD,,,,HP,Yok,,48.2 x 31 x 7 cm; 2.4 Kilogram,,,4449.0,4.0,Flaş Bellek Katı Hal,,15-db1106nt,2.0,,HP,2.4,3.5,AMD,1.0,,FreeDOS,,,Solid State,250.0,1.0,,,,,,,,,,,,,,
B08D7BZHW2,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),15289.0,16.0,SSD,5.0,GL65 LEOPARD 10SER-253XTR,,1920x1080,MSI COMPUTER,2.3,2.6,Intel,6.0,,FreeDOS,,,Solid State,,,36 x 2.7 x 25 cm; 2.3 Kilogram,,6.0,GL65 LEOPARD 10SER-253XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B08GYKTSWX,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi®,DDR4,DDR4 SDRAM,8.0,15.6,,Nvidia GeForce MX330,Katlanır,GDDR5,Intel,41.0,Cihazın içinde pil vardır.,3.0,HP,Yok,,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),8740.0,8.0,1TB HDD + 256 GB SSD,4.6,Laptop - 15-dw2015nt,2.0,,HP,1.75,3.9,Intel,4.0,,FreeDOS,,,Solid State,1000.0,,35 x 2 x 24 cm; 1.75 Kilogram,,2.0,3H822EA,1.0,,,,,,,,,
B08PG53SBJ,,DDR4,,8.0,15.6,,MX 110,Dizüstü Bilgisayar,GDDR5,Intel,0.001,Cihazın içinde pil vardır.,12.0,HP,Yok,10.0,52 x 30.8 x 7.2 cm; 2.42 Kilogram,,1 Lityum İyon pil gereklidir.,6579.0,,SSD,,Dw1013nt,,,HP,2.42,1.0,Intel,4.0,Core i5-10210U,FreeDOS,,,ESATA,256.0,2.0,,,,,,,,,,,,,,
B08GQDV1L8,802.11b/g/n (1x1) Wi-Fi®,DDR4,DDR4 SDRAM,4.0,15.6,Tümleşik,Diğer,Dizüstü Bilgisayar,DDR3 SDRAM,Intel,,,3.0,HP,Yok,,30 x 15 x 15 cm; 1 Kilogram,,,4894.0,,256 GB SSD,3.9,Laptop 15-da2094nt,,,HP,1.0,2.0,Intel,2.0,Core i3,FreeDOS,,,Solid State,256.0,1.0,,,,,,,,,,,,,,
B08PG3G8XD,"Bluetooth, Wi-Fi",DDR4,,8.0,15.6,Tümleşik,MX 130,Dizüstü Bilgisayar,GDDR5,Intel,0.001,Cihazın içinde pil vardır.,12.0,HP,Yok,,48.2 x 30.4 x 7 cm; 2.3 Kilogram,,1 Lityum İyon pil gereklidir.,6992.0,,SSD,,15-dw1000,,,HP,2.3,1.0,Intel,4.0,Core i5-10210U,Windows 10 Home,,,ESATA,256.0,2.0,,,,,,"Bluetooth, 802.11a/b/g/n/ac",,,,,,,,
B08HN2FPLH,,DDR4,DDR4 SDRAM,16.0,15.6,PCI-E,GTX 1660 Ti,Dizüstü Bilgisayar,GDDR6,Intel,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),13175.0,6.0,SSD,2.9,DİZÜSTÜ,,,MSI COMPUTER,4.12,2.6,Intel,1.0,Corei7-10750H,FreeDOS,,,Solid State,,,3.6 x 2 x 2.5 cm; 4.12 Kilogram,,6.0,GL65 LEOPARD 10SDR-412XTR,,,,,,,,,,
B08GT1LY61,Realtek Wi-Fi 5 (2x2),DDR4,DDR4 SDRAM,8.0,15.6,Tümleşik,GeForce GTX 1050,Katlanır,,AMD,52.5,Cihazın içinde pil vardır.,3.0,HP,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),7300.0,256.0,SSD,4.0,Pavilion Gaming Laptop 15-ec0005nt,2.0,1920x1080,HP,2.25,2.1,AMD,4.0,,FreeDOS,GeForce,Siyah,Solid State,,1.0,25.7 x 36 x 2.35 cm; 2.25 Kilogram,,,8BN44EA,1.0,801.11ac,,,,,,,,
B08NXF8YN1,,DDR4,SODIMM,32.0,15.6,Tümleşik,Tümleşik,Taşınabilir,Shared,AMD,41.0,Cihazın içinde pil vardır.,3.0,HP,CD-RW,,47.8 x 31.2 x 6.6 cm; 1.78 Kilogram,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),6398.0,,SSD,,2D231EA,3.0,1920x1080,HP,1.78,2.1,AMD,1.0,Ryzen 5 3500U,Windows 10,AMD Radeon Vega 8,,Solid State,256.0,,,,,,,802.11a/b/g/n/ac,,,,,,,,
B08NGW2KXC,,DDR3,,8.0,13,Tümleşik,Diğer,,Shared,Apple,49.9,Cihazın içinde pil vardır.,,Apple,Yok,,38 x 29 x 11.6 cm; 2.9 Kilogram,,,14469.0,256.0,SSD,5.0,MacBook Pro Air,1.0,,Apple Computer,2.9,2.8,Apple,8.0,,Mac OS Big Sur,,Gümüş rengi,SCSI,256.0,1.0,,,,,,,,,,,,,,
B08NVJF26C,,DDR4,SODIMM,,,,,,,NVIDIA,1.0,Cihazın içinde pil vardır.,1.0,Monster,,,36 x 25 x 2.5 cm; 2.5 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),10999.0,16.0,SSD,4.3,,,1920x1080,Monster,2.5,2.6,Intel,6.0,Intel Core i7,DOS,,Black,Solid State,250.0,,,PC,,,,,,,,,,,,
B08PBXNSZ1,,DDR4,SODIMM,,,,,Dizüstü Bilgisayar,,NVIDIA,,,,Monster,,,,Evet,,12149.0,16.0,SSD,,,,1920x1080,Monster,1.6,2.6,Intel,6.0,Intel Core i7,Windows 10 Home,,Gri,Solid State,500.0,,35.64 x 23.37 x 1.6 cm; 1.6 Kilogram,PC,,,,,,,,,,,,
B01N06DNAR,,,DDR4 SDRAM,,15.6,,MX 110,,,GEFORCE,,,,Lenovo,Yok,,,Evet,,8999.0,12.0,HDD,,Lenovo Ideapad,1.0,,Lenovo,,1.6,Intel,4.0,Core i5-10210U,Windows 10,NVIDIA,Gümüş,Serial ATA,500.0,1.0,,Windows,4.0,,1.0,,,Hayır,,,,,,
B08CYG8WXZ,Bluetooth,,DDR4 SDRAM,,15.6,,Nvidia_geforce,Notebook,,NVIDIA,,,,Lenovo,Optik,10.0,,,,8833.0,8.0,SSD,4.9,,1.0,1920x1080,Lenovo,1.0,4.5,Intel,4.0,Core i5,Windows 10,Nvidia,,Solid State,512.0,1.0,40 x 30 x 50 cm; 1 Kilogram,,,81Y400N1TX,1.0,Bluetooth,,,,,,,,
B0855YL4LC,,DDR4,SODIMM,,14.1,,,Dizüstü Bilgisayar,,NVIDIA,47.0,Piller cihazla birlikte paketlenmiştir,,Monster,,,51 x 34 x 20 cm; 3.5 Kilogram,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),7379.0,8.0,SSD,,,,1920x1080,Monster,3.5,1.8,Intel,4.0,Intel Core i7,DOS,,Gri,Solid State,250.0,,,PC,,,,,2666.0,,,,,,,0.37
B08J3QQ46S,,DDR4,,16.0,15.6,Tümleşik,GTX 1650,Dizüstü Bilgisayar,DDR4 SDRAM,NVIDIA,,,,Lenovo,Yok,,50 x 30.2 x 10.4 cm; 3.52 Kilogram,,,13999.0,16.0,SSD,,Yoga Creator 7 15IMH05,1.0,1920x1080,Lenovo,3.52,5.6,Intel,6.0,Core i7,Windows 10,,,Solid State,1000.0,1.0,,,4.0,82DS002ATX,,,,,,,,,,
