ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08RB5ZGVJ,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7129.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB5QKTL,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7029.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08RB5GY4R,Bluetooth,,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7079.0,,SSD,,,,1920x1080,Lenovo,,,,,,,AMD Radeon Vega 8,,Solid State,,,,,,,,"Bluetooth, 801.11ac",,,Bluetooth,LED,6.0,DDR4,,
B08R9WWGBW,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,17879.0,64.0,SSD,,,,3840x2160,Lenovo,,,Intel,8.0,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,,,"DDR4, SO-DIMM",,
B08R9WVVBK,Wifi,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,15899.0,16.0,SSD,,,,,Lenovo,,,Intel,8.0,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,,,
B08R9WLX9Z,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,16729.0,32.0,SSD,,,,3840x2160,Lenovo,,,Intel,8.0,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,,,"DDR4, SO-DIMM",,
B08R9VXTD2,Wifi,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,19279.0,16.0,SSD,,,,,Lenovo,,,Intel,8.0,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,,,
B08R9VRKF7,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,16629.0,16.0,SSD,,,,3840x2160,Lenovo,,,Intel,8.0,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,,,"DDR4, SO-DIMM",,
B08R8XX5BH,,,,,,,,,,,,,,Lenovo,,,,,,7429.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8J73S1,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7629.0,2.0,SSD,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R8J3TP2,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7229.0,8.0,SSD,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R8HR4V9,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,8479.0,2.0,,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R8HLTMV,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7629.0,8.0,,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R8HL5B3,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7729.0,12.0,,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R8GMKGV,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7329.0,12.0,SSD,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R7N66TS,,,SODIMM,,,,,,,,,,,,,,,,,13766.0,,,,,,,Dynabook,,4.9,Intel,4.0,Core i7-10510U,,,,Solid State,256.0,,,Bilgisayar,,,,,,,,,,,,
B08R7DFQ21,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9729.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7D4RDN,"USB, HDMI",,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,8229.0,12.0,,,,,,Asus,1.9,,Intel,,,,NVIDIA GeForce MX110,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,
B08R7CWCKH,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8579.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CW855,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8629.0,8.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CM4DK,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8179.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CKP26,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9129.0,32.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CK5LH,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7879.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CHHWV,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8779.0,8.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CHD4F,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9129.0,8.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CH5YL,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9079.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CDLT8,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8929.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7CCDX6,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9529.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7C72B8,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8529.0,16.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R7BCXNZ,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8279.0,8.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R79XPFS,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9429.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R79X2SL,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9179.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,Windows 10 Pro,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08R6JDW8J,,DDR4,SODIMM,,15.6,,,,,NVIDIA,41.0,Piller cihazla birlikte paketlenmiştir,4.0,Monster,,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),8099.0,8.0,SSD,,,,1920x1080,Monster,2.2,2.4,Intel,4.0,Intel Core i5,DOS,Nvidia,Black,Solid State,500.0,,36.1 x 25.8 x 2.5 cm; 2.2 Kilogram,PC,4.0,,,,,,,,,,,0.41
B08R5ZQVVV,,,,,,,,,,,,,,Dell,,,,,,26729.0,64.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,,,,,
B08R5ZJ77H,,,,,,,,,,,,,,Dell,,,,,,25229.0,32.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,,,,,
B08R5XQVNX,,,,,,,,,,,,,,Dell,,,,,,24529.0,16.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,,,,,
B08R5LSW6C,,,,,,,,,,,,,,Dell,,,,,,32679.0,8.0,SSD,,,,,Dell Computers,,,Intel,,,,,,Solid State,,,,,,,,Kızılötesi,,,,LED,,,,
B08R517DSV,,,,,,,,,,,,,,Dell,,,,,,24179.0,8.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,,,,,
B08R1ZHH67,,,,32.0,21,PCI-E,"NVIDIA GeForce GTX 1660 6GB GDDR5, HDMI",,DRAM,,,,,Actina,,,54 x 47.5 x 27.5 cm; 10.7 Kilogram,,,11819.0,16.0,,,Actina SG1X i5-9400F • 16GB • 512GB+2TB • 1660 • 500W• W10,,,ACTINA,10.7,,Intel,,,Windows 10,,,Serial ATA,2000.0,4.0,,,,KOMAAABTO0744,,,,,,,,,,
B08QZTV1P6,,,,,,,,,,,,,,Dell,,,,,,44669.0,32.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,LED,,,,
B08QZRHBJK,,,,,,,,,,,,,,Dell,,,,,,46239.0,64.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,LED,,,,
B08QZPF2Z3,,,,,,,,,,,,,,Dell,,,,,,48639.0,,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,LED,,,,
B08QZNZ6W2,,,,,,,,,,,,,,Dell,,,,,,45269.0,32.0,SSD,,,,,Dell Computers,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,Kızılötesi,,,,LED,,,,
B08QYV4N34,,,,,15.6,,,Dizüstü Bilgisayar,,,,,,Wondee Global Brands Services,,,39 x 36.2 x 5.2 cm; 340 gram,,,286.0,,,,,,,WONDEE GLOBAL BRANDS SERVICES,340.0,,,,,,,,,,,,,,,,,,,,,,,,
B08QW1JGNG,"USB, Wifi",,,,,,,,,,,,,Lenovo,,,,,,8229.0,32.0,SSD,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,Bluetooth,,,"USB, USB 2.0",,,,,
B08QW1HMK7,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8129.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QVZW784,"USB, Wifi",,,,,,,,,,,,,Lenovo,,,,,,7729.0,8.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,Bluetooth,,,"USB, USB 2.0",,,,,
B08QVY6J3F,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8529.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVY5ZRD,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,10329.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVY5QXL,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9429.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QVXQP5Z,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9579.0,32.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QVX5YM1,,,,,,,,,,,,,,Dell,,,,,,9129.0,,,,,,,Dell Computers,,,,,,,,,,,,,,,,,,,,,,,,,
B08QVX43BR,"USB, Wifi",,,,,,,,,,,,,Lenovo,,,,,,8029.0,16.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,Bluetooth,,,"USB, USB 2.0",,,,,
B08QVWY2YQ,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9929.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QVWXY5S,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8529.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVWX3FC,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9129.0,32.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVWV3WC,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8629.0,32.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVWPWP7,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9829.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVW8NLQ,"USB, Wifi",,,,,,,,,,,,,Lenovo,,,,,,8179.0,8.0,,,,,,Lenovo,,,Intel,,,,,,,,,,,,,,Bluetooth,,,"USB, USB 2.0",,,,,
B08QVV7YBF,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,9029.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QVK8DT8,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8029.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QVJW7QR,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8879.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QVHLGWJ,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8529.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QVH7P3N,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8829.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QV6S28Q,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8729.0,8.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QV62M3G,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,7629.0,16.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QTZCZ44,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8229.0,8.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QSJXDL3,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8229.0,32.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QSHFB4R,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8229.0,8.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QSH55GW,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,10779.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QSH2CM3,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,10279.0,64.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",,,,,
B08QSG6CZN,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,7829.0,8.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QSFYWKK,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,8729.0,32.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QSFTB39,"USB, Ethernet, HDMI",,,,,,,,,,,,,Dell,,,,,,7729.0,8.0,SSD,,,,,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,"USB, HDMI",LED,,,,
B08QS4G6G1,,,,,,,,,,,,,,Lenovo,,,,,,8929.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QS3KLD6,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9479.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QS1VLB6,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8729.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QS1D27Q,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7529.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QS15TBV,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7379.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRZ1K76,,,,,,,,,,,,,,Lenovo,,,,,,8029.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRYTWLJ,,,,,,,,,,,,,,Lenovo,,,,,,9429.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRX7KRJ,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10079.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08QRWY35N,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8279.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRWPXG7,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9179.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRV7DVK,,,,,,,,,,,,,,Lenovo,,,,,,9079.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRT93XW,,,,,,,,,,,,,,Lenovo,,,,,,8579.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRSJRS7,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7529.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRRJWGX,,,,,,,,,,,,,,Lenovo,,,,,,8429.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRR975S,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7829.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRQ33BS,,,,,,,,,,,,,,Lenovo,,,,,,8529.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRPX9BB,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7829.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRPPYQ6,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9529.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,USB-C,LED,,DDR4,,
B08QRPJXXX,,,,,,,,,,,,,,Lenovo,,,,,,8929.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRMJ8BF,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8579.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRKZDNK,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7979.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRKF7S8,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7179.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRHLPCQ,,,,,,,,,,,,,,Lenovo,,,,,,8079.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRHDPLZ,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8079.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRH7FFZ,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8579.0,,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,1000.0,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRGKJ8X,,,,,,,,,,,,,,Lenovo,,,,,,8579.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRFMFWN,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8079.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRFLTVD,,,,,,,,,,,,,,Lenovo,,,,,,9129.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QRCJQRP,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7479.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QRBTXQW,USB,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9029.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,USB-C,,,DDR4,,
B08QR97XNS,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7679.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QR839R8,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7929.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QR6S8ZN,,,,,,,,,,,,,,Lenovo,,,,,,9529.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QR26J3G,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7979.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QR1WJ25,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8429.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,,,,,LED,6.0,DDR4,,
B08QR1TCMX,,,,,,,,,,,,,,Lenovo,,,,,,8629.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08QPTMPM5,,DDR4,SODIMM,,,,,,,NVIDIA,,,,Monster,,,,Evet,,9199.0,16.0,SSD,,,,1920x1080,Monster,2.2,2.4,Intel,4.0,Intel Core i5,Windows 10 Home,,Black,Solid State,500.0,,36.1 x 25.8 x 2.49 cm; 2.2 Kilogram,PC,,,,,,,,,,,,
B08QG2S3QK,,,DDR DRAM,,,,,,,,,,,,,,,,,9998.0,8.0,SSD,,,,,Asus,,2.5,Intel,1.0,Core i5,DOS,,,Solid State,512.0,,,Bilgisayar,,,,,,,,,,,,
