ASIN,Ekran Boyutu,Form Faktör,Grafik Yardımcı İşlemcisi,Grafik İşlemci Üreticisi,Marka,Paket Boyutları,Price,RAM Boyutu,Renk,Sabit Disk Açıklaması,Sabit Sürücü Arabirimi,Score,Üretici,Ürün Ağırlığı,İşlemci Markası,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Grafik RAM Türü,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Piller Dahil mi?,Piller:,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,İşlemci Hızı,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Lityum Batarya Ağırlığı,Lityum Metal Hücre Sayısı,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Model Numarası,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Boyutları,Kablosuz Türü,Bellek Saat Hızı,Ekran Çözünürlüğü,Üretici Artık Üretmiyor,HDMI Bağlantı Noktası Sayısı,Ekran Teknolojisi,RAM Bellek Teknolojisi,Önemli Özellikler,İnsan Arayüz Girdisi,Üretici Referansı,Audio Details,Voltaj,Watt Değeri,Donanım Arayüzü,Ortalama Pil Ömrü,Yüklü Flash Belleğin Boyutu,Dizüstü Bilgisayar Ekran Teknolojisi,Ek Sürücüler,Dahili Hafıza,Average Battery Standby Life (in hours),Front Webcam Resolution,Model,Parça Numarası,Pil Gerekli,Piller Dahil,Sıvı Madde İçerir,Bağlantı Noktası Sayısı,Model Year,Otomatik Odaklama Var,Programlanabilir Düğmeler,USB Bağlantı Noktası Sayısı,Yatay Çözünürlük,Klavye Dili ve Düzeni,Sabit Disk Dönüş Hızı,Cihaz Türü,İşlemci Yuvası,Pil Hücre Bileşimi,Rear Webcam Resolution,Adet,Model Adı,Şarj Edilebilir Pil Dahil,Dijital Depolama Kapasitesi,Renkli Ekran,En-Boy Oranı,Yanıt Süresi,Bluetooth Teknolojisini Destekler,Hücresel Teknoloji,Lityum Batarya Voltajı,Battery Charge Time (in hours),Uzaktan Kumanda Dahil,Hoparlör Çıkış Kanalı Sayısı,Desteklenen Yazılımlar,Pil Açıklaması,Mikrofon Bağlantı Noktası Sayısı,Kart Okuyucu,Dil:,Güç Kaynağı,Model Numarası,Üretici Parça Numarası
B086ZTYJFS,14 İnç,,,,,41 x 28 x 7 cm; 1.38 Kilogram,"₺7.499,00",8 GB,,SSD,USB 3.0,,Huawei,1.38 kg,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,,2.1 GHz,1,AMD Ryzen 7,,,,512 GB,,53010WXK,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086XYMSR5,13.3,Notebook,,,Apple,,"₺12.949,00",4 GB,Space Grey,SSD,,,Apple Computer,1.29 kg,Intel,Wi-Fi,,,,,,,30 Vat Saat,Cihazın içinde pil vardır.,1,Hayır,11 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,2,2560 x 1600,1.1 GHz,2,,Mac OS X,,,,,MVH22TU/A,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,802.11ac,,2560 x 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086XYH2JH,13.3,Notebook,,,Apple,,"₺12.949,00",4 GB,Gold,SSD,,,Apple Computer,1.29 kg,Intel,Wi-Fi,,,,,,,30 Vat Saat,Cihazın içinde pil vardır.,1,Hayır,11 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,2,2560 x 1600,1.1 GHz,2,,Mac OS X,,,,,MVH52TU/A,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,802.11ac,,2560 x 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086XYDD3T,13.3,Notebook,,,Apple,,"₺12.949,00",4 GB,Silver,SSD,,,Apple Computer,1.29 kg,Intel,Wi-Fi,,,,,,,30 Vat Saat,Cihazın içinde pil vardır.,1,Hayır,11 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,2,2560 x 1600,1.1 GHz,2,,Mac OS X,,,,,MVH42TU/A,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,802.11ac,,2560 x 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086XXSX7R,13.3,Notebook,,,Apple,,"₺9.999,00",4 GB,Gold,SSD,,,Apple Computer,1.29 kg,Intel,Wi-Fi,,,,,,,30 Vat Saat,Cihazın içinde pil vardır.,1,Hayır,11 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,2,2560 x 1600,1.1 GHz,4,,Mac OS X,,,,,MWTL2TU/A,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,802.11ac,,2560 x 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086XJ8XFH,,Tower,,,Lenovo,,"₺8.139,38",16 GB,,Katı Hal Sürücüsü (SSD),Ethernet,3 / 5 yıldız,Lenovo,7.5 kg,Intel,,,SDRAM,16 GB,PCI-E,Integriert,DDR4 SDRAM,,,,Keine,,,,M720t,,Unbekannt Pixels,,8,Core i7,Windows 10,,,16 GB,2,10SQ006BGE,,,40 x 54 x 25 cm; 7.5 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086G3S6K3,14 İnç,,,,Lenovo,,"₺16.099,00",16 GB,,SSD,Solid State,,LENOVO,,Intel,Wifi,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,Xeon,Windows 10,,,512 GB,,,,,,,,,,,,DDR4,,Mikrofon,TET25844361939,,,,,14 Saat,500 GB,,,,,,,TET25844361939,,,,,,,,,,,,Notebook,,,,,,,,,,,,,,,,,,,,,,,,
B0868YXF7B,13.3 İnç,,,Nvidia,Dell,44.8 x 29.2 x 8.4 cm; 2.38 Kilogram,"₺13.975,01",512,,SSD,Solid State,5 / 5 yıldız,Dell Computers,2.38 kg,Nvidia,,Ddr,Bilinmeyen,16 GB,Tümleşik,Diğer,DDR DRAM,,,,Optik Sürücü Yok,,,,Core i7-10510U,1,,3.4,4,Core i7,DOS,,,1 TB,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
B0868XSBRW,13.3 İnç,,,Nvidia,Dell,44.8 x 29 x 8.4 cm; 2.46 Kilogram,"₺15.483,50",512,,SSD,Solid State,,Dell Computers,2.46 kg,Nvidia,,Ddr,Bilinmeyen,16 GB,Tümleşik,Diğer,DDR DRAM,,,,Optik Sürücü Yok,,,,Core i7-10510U,1,,3.4,4,Core i7,DOS,,,1 TB,2,,,,,,,,,,,,,,MfrPartNumber3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085QTH6FW,14 İnç,"Kompakt, Dizüstü Bilgisayar, Ultrabook",,Intel,Schenker,43 x 28.8 x 9.4 cm; 1 Kilogram,"₺12.908,68",16,,SSD,Solid State,,Schenker,1 kg,Intel,,,,16 GB,Tümleşik,UHD Graphics 655,GDDR4,,,,Kein optisches Laufwerk,,Hayır,,SCHENKER VIA 14 - E20 vnb,,,,4,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085QTGRY6,15.6 İnç,Dizüstü Bilgisayar,,AMD,Schenker,45 x 33.5 x 12.8 cm; 1.5 Kilogram,"₺8.708,80",32,,SSD,Solid State,,Schenker,1.5 kg,AMD,,,,32 GB,Tümleşik,Radeon Vega 8,GDDR4,,,,Kein optisches Laufwerk,,Hayır,,SCHENKER VIA 15 - E20 qjz,,,,4,Ryzen 5,Ohne Betriebssystem,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085QTB922,14 İnç,"Kompakt, Dizüstü Bilgisayar, Ultrabook",,Intel,Schenker,43 x 28.6 x 9.6 cm; 1 Kilogram,"₺10.971,02",16,,SSD,Solid State,,Schenker,1 kg,Intel,,,,16 GB,Tümleşik,UHD Graphics 655,GDDR4,,,,Kein optisches Laufwerk,,Hayır,,SCHENKER VIA 14 - E20 pgk,,,,4,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0855YTG33,14 İnç,Dizüstü Bilgisayar,,Nvidia,Monster,51 x 34 x 20 cm; 1.05 Kilogram,"₺7.379,00",8 GB,Black,SSD,Solid State,,MONSTER,1.05 kg,Intel,,DDR4,SODIMM,,,,,47 Vat Saat,Piller cihazla birlikte paketlenmiştir,,,,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),,,1920 x 1080 Pixels,1.8 GHz,4,Intel Core i7,DOS,0.37 gram,,250 GB,,,PC,,,,2666 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0855YLC8X,,Dizüstü Bilgisayar,,Nvidia,Monster,,"₺8.999,00",16 GB,Black,SSD,Solid State,,MONSTER,1.05 kg,Intel,,DDR4,SODIMM,,,,,,,,,,Evet,,,,1920 x 1080 Pixels,1.8 GHz,4,Intel Core i7,Windows 10 Home,,,500 GB,,,PC,,,,2400 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084LJB9FJ,15 İnç,"Kompakt, Dizüstü Bilgisayar",NVIDIA GeForce RTX 2060,NVIDIA,Acer,,"₺8.976,76",8 GB,Siyah/Kırmızı,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,"4,4 / 5 yıldız",Acer,3.56 kg,Intel,Bluetooth,DDR4,DDR4 SDRAM,32 GB,Tümleşik,RTX 2060,GDDR6,55 Vat Saat,Cihazın içinde pil vardır.,4,Kein optisches Laufwerk,7 Saat,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),AN515-54-55UY,,1920 x 1080,,4,,Windows 10 Home,5 gram,1,512 GB,1,NH.Q96EV.006,,,25.5 x 36.3 x 2.68 cm; 3.56 Kilogram,Bluetooth,,,,1,,,,,,,,180 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084DSHSPV,14,"Dizüstü Bilgisayar, Dönüştürülebilir",,Intel,Acer,,"₺7.938,57",8 GB,,SSD,Solid State,,Acer,2.56 kg,Intel,Bluetooth,LPDDR4,SDRAM,,Tümleşik,Andere,Shared,62.2 Vat Saat,Piller cihazla birlikte paketlenmiştir,2,Kein optisches Laufwerk,12 Saat,,1 Lityum İyon pil gereklidir.,SP314-54N-56S5,,,,1,,Windows 10 Home,,,,1,NX.HQ7EG.004,,,32.5 x 23 x 1.7 cm; 2.56 Kilogram,Bluetooth,,,,1,,,,,,,,65 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084D4QQMG,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺5.999,00",4 GB,,SSD,Bilinmeyen,,LENOVO,,Intel,,,PC 4000 DDR Memory,,,,,,,,,,,,,,,1 GHz,1,Celeron,DOS,,,128 GB,,,Bilgisayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B083YJGFHN,16 İnç,Notebook,Radeon,,Apple,,"₺23.725,25",16 GB,Gri,SSD,Solid State,,Apple Computer,2 kg,Intel,,,DDR4 SDRAM,,Bilinmeyen,Amd_radeon_r5,DDR SDRAM,,Cihazın içinde pil vardır.,,Hayır,,Evet,,,1,,2.6 GHz,6,Core i7,Mac OS 9.X,,,,,MVVJ2TU/A,,4,24.69 x 35.79 x 1.62 cm; 2 Kilogram,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B083YJD89B,16 İnç,Notebook,Amd radeon Pro,,Apple,,"₺27.901,07",16 GB,Gri,SSD,Solid State,,Apple Computer,3.32 kg,Intel,,,DDR4 SDRAM,,Bilinmeyen,Amd_radeon_pro_duo,DDR SDRAM,,,,Hayır,,Hayır,,,1,,2.3 GHz,8,Core i9,Mac OS 9.X,,,1 TB,,MVVK2TU/A,,4,39.7 x 7.2 x 28.3 cm; 3.32 Kilogram,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081XQW8XG,12.3 İnç,Dizüstü Bilgisayar,,Intel,,,"₺13.500,00",4 GB,Siyah,Katı Hal Sürücüsü (SSD),Serial ATA,"4,7 / 5 yıldız",Microsoft,771 g,Intel,"Bluetooth, Wi-Fi",,SDRAM,,,,,4.9 Vat Saat,Piller cihazla birlikte paketlenmiştir,2,,,Hayır,,,,,1.2 GHz,2,Core i3,Windows 10,100 gram,,128 GB,,,Windows 10 Home,,29.21 x 20.07 x 0.76 cm; 771.11 gram,"802.11a/b/g/n/ac, 802.11abg, 802.11a/b/g/n, 802.11a",,,Hayır,,,,,,Surface Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 MP,,,,,,,,,,,,,,,,,,,,,
B081D7M2S7,14 İnç,"Kompakt, Dizüstü Bilgisayar",,Intel,Msi,,"₺8.971,26",8 GB,Gri,SSD,Solid State,"4,5 / 5 yıldız",MSI COMPUTER,1.2 kg,Intel,,,DDR3 SDRAM,8 GB,Tümleşik,Intel HD Grafik,GDDR4,50 Vat Saat,Cihazın içinde pil vardır.,4,Kein optisches Laufwerk,10 Saat,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),Modern 14,,,,1,,Windows 10 Home,,,512 GB,1,0014B3-669,,,32.2 x 22.2 x 1.59 cm; 1.2 Kilogram,,2666 MHz,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07Z7JDFYH,15.6 İnç,,,Nvidia,Dell,48.8 x 33.2 x 9.2 cm; 3.5 Kilogram,"₺15.783,20",512,,Flaş Bellek Katı Hal,Solid State,,Dell Computers,3.5 kg,Nvidia,,Ddr,,16 GB,Tümleşik,GTX 1650,DDR DRAM,,,,Optik Sürücü Yok,,,,Core i7-9750H,1,,3.4,4,Core i7,Windows 10 Pro,,,512 GB,2,,,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YVKYYC9,15.6 İnç,"Kompakt, Ultrabook",,Intel,Schenker,,"₺8.078,92",16 GB,Kırmızı,SSD,PCIE x 4,,Schenker,1.5 kg,Intel,,,,,Tümleşik,Integriert,SODIMM,54.5 Vat Saat,Cihazın içinde pil vardır.,1,Kein optisches Laufwerk,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),SCHENKER SLIM 15 RED - L19 - zgb,,1080p Full HD,,1,,Ohne OS,,,,1,10505241,,,36.04 x 24.45 x 1.99 cm; 1.5 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YVKK11Y,15.6 İnç,"Kompakt, Dizüstü Bilgisayar, 2'si 1 Arada, Ultrabook",,,Schenker,,"₺9.153,12",16 GB,,SSD,Thunderbolt 3,,Schenker,,,"USB, Ethernet, Mini DisplayPort, HDMI",,DDR4 SDRAM,,Tümleşik,,,,,,,,,,,,,,1,,Windows 7,,,,,10505242,,,36.04 x 24.45 x 1.99 cm; 1.5 Kilogram,Bluetooth,,,,,,DDR4,Kart Okuyucu,Tuş Takımı,,,,,Thunderbolt,,512,,,500 GB,,,10505242,10505242,Hayır,Evet,,,2019,,,3,,,,Notebook,,Lityum iyon,,1,Notebook,Evet,,,,,,,,,,,,,,,,,,
B07YSTT8Z5,15.6 İnç,Dizüstü Bilgisayar,,,Asus,,"₺7.378,60",4 GB,,SSD,Solid State,"4,6 / 5 yıldız",Asus,,AMD,"Bluetooth, HDMI, Wifi",,SODIMM,,,,,,,,,,,,,,,,2,,Windows 10 Home,,,128 GB,,F512DA-WH31,,4 GB,22.86 x 35.56 x 2.03 cm; 1.81 Kilogram,802.11ac,,,,,LED,,Kart Okuyucu,Tuş Takımı,,,,45 watt,"Bluetooth, USB, HDMI, USB-C",,128 GB,,,128 GB,,,F512DA-WH31,Cdnbd-448,Hayır,Evet,,,,Hayır,Hayır,4,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNLK9LY,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺29.207,70",512 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,Core i7,,,,,,VGS-00043,,,30.73 x 22.35 x 1.45 cm; 2.4 Kilogram,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,512,,,16 GB,,,VGS-00043,VGS-00043,Evet,Evet,,,2019,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNLK9LX,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺27.325,80",16 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,Windows 10,,,,,VGS-00022,,,30.8 x 22.3 x 1.45 cm; 1.27 Kilogram,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,512,,,16 GB,,,VGS-00022,VGS-00022,Evet,Evet,,,2019,Hayır,Hayır,2,,,,Ultrabook,,,,,,,,,,,,,,,,,,,,,,,,
B07YNKZT44,15 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺25.136,90",16 GB,,SSD,Solid State,"4,6 / 5 yıldız",Microsoft,,AMD,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,Ryzen 5,,,,,,V9R-00001,,,45.72 x 6.35 x 27.94 cm; 1.54 Kilogram,,,,,,,,Kart Okuyucu,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,16 GB,,,V9R-00001,V9R-00001,Evet,Evet,,,2019,,,2,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,
B07YNKTLV6,15 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺30.821,90",16 GB,,SSD,Solid State,"4,3 / 5 yıldız",Microsoft,,AMD,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,Windows 10,,,,,VFL-00001,,,45.72 x 6.35 x 27.94 cm; 1.54 Kilogram,"Bluetooth, 2,4 GHz Radyo Frekansı, 802.11ac",,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,512,,,16 GB,,,VFL-00001,VFL-00001,Evet,Evet,,,2019,,,2,,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,
B07YNKTF6N,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,42.67 x 25.91 x 6.1 cm; 1.27 Kilogram,"₺25.023,20",512 GB,,SSD,Solid State,"4,9 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,Intel Irıs Plus Grafik,,,,,,,,,,,,,4,,,,,512 GB,,VGS-00054,,,,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,512,,,16 GB,,,VGS-00054,VGS-00054,Evet,Evet,,,2019,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNKLYFH,15 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺34.850,90",16 GB,,SSD,Solid State,"3,8 / 5 yıldız",Microsoft,,AMD,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,Ryzen 7,,,,,,VFL-00022,,,34.04 x 24.38 x 1.45 cm; 1.54 Kilogram,"Bluetooth, 2,4 GHz Radyo Frekansı, 802.11ac",,,,,,,Dokunmatik Ekran,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,512,,,16 GB,,,VFL-00022,VFL-00022,Evet,Evet,,,2019,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNKGWMT,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺19.400,40",8 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,,,,256 GB,,V4C-00043,,,30.73 x 22.35 x 1.45 cm; 1.54 Kilogram,"Bluetooth, 802.11ax",,,,,,,Kart Okuyucu,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,8 GB,,,V4C-00043,V4C-00043,Evet,Evet,,,2019,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNKDMX5,15 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺20.532,60",8 GB,Siyah,SSD,Solid State,"4,1 / 5 yıldız",,1.54 kg,AMD,,,Bilinmeyen,,Tümleşik,,,49.4 Vat Saat,Cihazın içinde pil vardır.,6,,11.5 Saat,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),,,,,4,Ryzen 5,,1 gram,,,,VGZ-00022,,,10.16 x 7.62 x 7.62 cm; 1.54 Kilogram,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNKDLQB,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺23.309,50",256 GB,,SSD,Solid State,"4,6 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,,,,256 GB,,VEF-00043,,,10.16 x 7.62 x 10.16 cm; 1.27 Kilogram,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,16 GB,,,VEF-00043,VEF-00043,Evet,Evet,,,2019,,,2,,,,Ultrabook,,,,,,,,,,,,,,,,,,,,,,,,
B07YNK9T9Z,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺19.461,60",256 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,Windows 10,,,,,V4C-00022,,,30.8 x 22.3 x 1.45 cm; 1.54 Kilogram,"Bluetooth, 802.11ax",,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,8 GB,,,V4C-00022,V4C-00022,Evet,Evet,,2,2019,Hayır,Hayır,2,,,,Ultrabook,,,,,,,,,,,,,,,,,,,,,,,,
B07YNK3H6P,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺24.877,80",256 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,,,,256 GB,,VEF-00022,,,30.73 x 22.35 x 1.45 cm; 1.27 Kilogram,Bluetooth,,,,,,,Kart Okuyucu,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,16 GB,,,VEF-00022,VEF-00022,Evet,Evet,,,2019,Hayır,Hayır,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNJX8HM,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺23.692,10",16 GB,,SSD,Solid State,"4,8 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,Windows 10,,,,,VEF-00001,,,38.1 x 10.16 x 53.34 cm; 1.27 Kilogram,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,16 GB,,,VEF-00001,VEF-00001,Evet,Evet,,,2019,,,2,,,,Ultrabook,,,,,,,,,,,,,,,,,,,,,,,,
B07YNJSV3Y,15 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺20.532,60",8 GB,,SSD,Solid State,"4,5 / 5 yıldız",Microsoft,,AMD,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,,,,,256 GB,,VGZ-00001,,,34.04 x 1.45 x 24.38 cm; 1.54 Kilogram,,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,8 GB,,,VGZ-00001,VGZ-00001,Evet,Evet,,,2019,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07YNJRGF9,13.5 İnç,Dizüstü Bilgisayar,,,Microsoft,,"₺23.378,40",16 GB,,SSD,Solid State,"4,6 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,4,Core i7,,,,,,VEF-00064,,,10.16 x 7.62 x 10.16 cm; 1.27 Kilogram,,,,,,,,Kart Okuyucu,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",11.5 Saat,256,,,16 GB,,,VEF-00064,VEF-00064,Evet,Evet,,,2019,,,2,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,
B07YNJBLW5,12.3 İnç,,,,Microsoft,,"₺19.752,30",16 GB,,SSD,Solid State,"4,4 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,,,,,,,,,,,,,,1,Core i5,,,,,,PUW-00001,,,32.36 x 23.09 x 4.85 cm; 771.11 gram,,,,,,,,,Dokunmatik Ekran,,,,,"USB, USB-C",10.5 Saat,256 GB,,,256 GB,,,PUW-00001,PUW-00001,Evet,Evet,,2,2019,Hayır,Hayır,,,,,2si 1 Arada,,,,,,,,,,,,,,,,,,,,,,,,
B07YNJ6RBM,12.3 İnç,,,,Microsoft,,"₺17.717,40",8 GB,,SSD,Solid State,,Microsoft,,Intel,"USB, Wifi",,Bilinmeyen,,AGP,,,,,,,,,,,,,,1,,Windows 10,,,256 GB,,PUV-00001,,,32.36 x 23.09 x 4.85 cm; 771.11 gram,Kızılötesi,,,,,,,,Dokunmatik Ekran,,,,,"Katı Hal Sürücü, USB, USB-C",10.5 Saat,256,,,8 GB,,,PUV-00001,PUV-00001,Evet,Evet,,,2004,,,,,,,,,,,,,,256 GB,Hayır,,,,,,,,,,,,,,,,
B07YNJ6BQL,12.3 İnç,,,,Microsoft,,"₺17.717,40",8 GB,,SSD,Solid State,"4,6 / 5 yıldız",Microsoft,,Intel,USB,,Bilinmeyen,,Tümleşik,Intel UHD Grafik,,,,,,,,,,,,,1,,,,,256 GB,,PUV-00016,,,32.36 x 23.09 x 4.85 cm; 771.11 gram,"Bluetooth, 802.11ax",,,,,,,,Dokunmatik Ekran,,,,,"USB, USB-C",10.5 Saat,256,,,8 GB,,,PUV-00016,PUV-00016,Evet,Evet,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
